order_date,date_key,year,month,day,day_name,quarter
2026-03-13,20260313,2026,3,13,Friday,1
2026-03-28,20260328,2026,3,28,Saturday,1
2026-04-14,20260414,2026,4,14,Tuesday,2
2026-04-18,20260418,2026,4,18,Saturday,2
2026-04-23,20260423,2026,4,23,Thursday,2
2026-04-28,20260428,2026,4,28,Tuesday,2
2026-05-10,20260510,2026,5,10,Sunday,2
2026-05-11,20260511,2026,5,11,Monday,2
2026-05-30,20260530,2026,5,30,Saturday,2
2026-06-06,20260606,2026,6,6,Saturday,2
2026-07-01,20260701,2026,7,1,Wednesday,3
2026-07-03,20260703,2026,7,3,Friday,3
2026-07-12,20260712,2026,7,12,Sunday,3
2026-07-16,20260716,2026,7,16,Thursday,3
2026-07-24,20260724,2026,7,24,Friday,3
2026-08-03,20260803,2026,8,3,Monday,3
2026-08-07,20260807,2026,8,7,Friday,3
2026-08-17,20260817,2026,8,17,Monday,3
2026-08-21,20260821,2026,8,21,Friday,3
2026-08-24,20260824,2026,8,24,Monday,3
2026-08-26,20260826,2026,8,26,Wednesday,3
