region,store_id,total_transactions,net_revenue,refund_value
Central,ST-008,1,23.99,0.0
Central,ST-012,1,-89.97,89.97
Central,ST-014,2,28.959999999999997,0.0
Central,ST-016,1,-7.45,7.45
Central,ST-020,1,47.98,0.0
Central,ST-021,1,-47.96,47.96
East,ST-003,1,5.97,0.0
East,ST-009,1,15.98,0.0
East,ST-020,1,-5.97,5.97
North,ST-006,2,37.82,0.0
North,ST-007,1,-4.95,4.95
North,ST-010,1,14.99,0.0
North,ST-018,1,18.99,0.0
South,ST-014,1,59.96,0.0
South,ST-016,1,4.99,0.0
West,ST-011,1,8.99,0.0
West,ST-015,1,15.98,0.0
West,ST-017,1,29.98,0.0
West,ST-024,1,12.98,0.0
