order_id,date_key,store_id,product_id,quantity,unit_price,total_amount
ORD-03419,20260701,ST-003,SKU-BE-004,3,1.99,5.97
ORD-02728,20260606,ST-009,SKU-TY-001,2,7.99,15.98
ORD-02012,20260510,ST-006,SKU-TY-003,5,6.49,32.45
ORD-01657,20260428,ST-017,SKU-HM-003,2,14.99,29.98
ORD-04504,20260807,ST-018,SKU-AP-005,1,18.99,18.99
ORD-03759,20260712,ST-014,SKU-GR-004,1,1.99,1.99
ORD-01283,20260414,ST-024,SKU-GR-001,2,6.49,12.98
ORD-04981,20260824,ST-020,SKU-AP-003,2,23.99,47.98
ORD-03490,20260703,ST-014,SKU-HM-003,4,14.99,59.96
ORD-00366,20260313,ST-015,SKU-EL-005,2,7.99,15.98
ORD-01516,20260423,ST-010,SKU-TY-004,1,14.99,14.99
ORD-03864,20260716,ST-016,SKU-AP-001,1,4.99,4.99
ORD-02028,20260511,ST-006,SKU-GR-005,3,1.79,5.37
ORD-05072,20260826,ST-014,SKU-GR-003,3,8.99,26.97
ORD-04914,20260821,ST-011,SKU-EL-002,1,8.99,8.99
ORD-04121,20260724,ST-008,SKU-AP-003,1,23.99,23.99
