order_id,order_date,store_id,product_id,product_name,category,quantity,unit_price,region,is_return,transaction_type,absolute_quantity,total_amount,net_sales_amount,refund_amount,is_grocery,policy_returnable
ORD-03419,2026-07-01,ST-003,SKU-BE-004,Hand Cream 100ml,Beauty,3,1.99,East,False,SALE,3,5.97,5.97,0.0,False,True
ORD-02728,2026-06-06,ST-009,SKU-TY-001,Wooden Puzzle Set,Toys,2,7.99,East,False,SALE,2,15.98,15.98,0.0,False,True
ORD-02012,2026-05-10,ST-006,SKU-TY-003,Plush Bear Medium,Toys,5,6.49,North,False,SALE,5,32.45,32.45,0.0,False,True
ORD-01657,2026-04-28,ST-017,SKU-HM-003,Cotton Bedsheet Set,Home,2,14.99,West,False,SALE,2,29.98,29.98,0.0,False,True
ORD-04504,2026-08-07,ST-018,SKU-AP-005,Rain Jacket,Apparel,1,18.99,North,False,SALE,1,18.99,18.99,0.0,False,True
ORD-03759,2026-07-12,ST-014,SKU-GR-004,Whole Wheat Pasta 1kg,Grocery,1,1.99,Central,False,SALE,1,1.99,1.99,0.0,True,False
ORD-01283,2026-04-14,ST-024,SKU-GR-001,Organic Almonds 500g,Grocery,2,6.49,West,False,SALE,2,12.98,12.98,0.0,True,False
ORD-04981,2026-08-24,ST-020,SKU-AP-003,Denim Jacket,Apparel,2,23.99,Central,False,SALE,2,47.98,47.98,0.0,False,True
ORD-03490,2026-07-03,ST-014,SKU-HM-003,Cotton Bedsheet Set,Home,4,14.99,South,False,SALE,4,59.96,59.96,0.0,False,True
ORD-00366,2026-03-13,ST-015,SKU-EL-005,Smartwatch Band,Electronics,2,7.99,West,False,SALE,2,15.98,15.98,0.0,False,True
ORD-01383,2026-04-18,ST-020,SKU-GR-004,Whole Wheat Pasta 1kg,Grocery,-3,1.99,East,True,RETURN,3,-5.97,0.0,5.97,True,False
ORD-01516,2026-04-23,ST-010,SKU-TY-004,Board Game Family Pack,Toys,1,14.99,North,False,SALE,1,14.99,14.99,0.0,False,True
ORD-03864,2026-07-16,ST-016,SKU-AP-001,Cotton T-Shirt,Apparel,1,4.99,South,False,SALE,1,4.99,4.99,0.0,False,True
ORD-02028,2026-05-11,ST-006,SKU-GR-005,Dark Chocolate Bar,Grocery,3,1.79,North,False,SALE,3,5.37,5.37,0.0,True,False
ORD-05072,2026-08-26,ST-014,SKU-GR-003,Extra Virgin Olive Oil 1L,Grocery,3,8.99,Central,False,SALE,3,26.97,26.97,0.0,True,False
ORD-04914,2026-08-21,ST-011,SKU-EL-002,USB-C Charger 30W,Electronics,1,8.99,West,False,SALE,1,8.99,8.99,0.0,False,True
ORD-04121,2026-07-24,ST-008,SKU-AP-003,Denim Jacket,Apparel,1,23.99,Central,False,SALE,1,23.99,23.99,0.0,False,True
ORD-04794,2026-08-17,ST-012,SKU-AP-002,Running Shoes,Apparel,-3,29.99,Central,True,RETURN,3,-89.97,0.0,89.97,False,True
ORD-04369,2026-08-03,ST-007,SKU-ST-004,Sticky Notes Set,Stationery,-5,0.99,North,True,RETURN,5,-4.95,0.0,4.95,False,True
ORD-00808,2026-03-28,ST-016,SKU-BE-005,Lip Balm Pack of 3,Beauty,-5,1.49,Central,True,RETURN,5,-7.45,0.0,7.45,False,True
ORD-02547,2026-05-30,ST-021,SKU-HM-002,LED Desk Lamp,Home,-4,11.99,Central,True,RETURN,4,-47.96,0.0,47.96,False,True
